1934-638	,radec delaycal bpcal	,19:39:25.03,-63:42:45.63
0252-712	,radec delaycal gaincal ,02:52:46.15,-71:04:35.26
DEEP_4		,radec target	,04:28:28.47,-80:30:00.00
