J185958-661503,radec gaincal,18:59:57.80,-66:15:02.8
J191109-200655,radec gaincal,19:11:09.69,-20:06:55.5
J192332-210433,radec gaincal,19:23:32.2,-21:04:33.7
J192451-291431 | OV-236,radec gaincal,19:24:51.11,-29:14:31.0
J193732-583828,radec gaincal,19:37:32.37,-58:38:27.80
J193925-634243 | 1934-638,radec bpcal,19:39:25.05,-63:42:43.63
J194114-152431,radec gaincal,19:41:14.97,-15:24:31.3
J195123-273720,radec gaincal,19:51:23.26,-27:37:20.5
J195759-384505,radec gaincal,19:57:59.67,-38:45:05.3
J195903-353432,radec gaincal,19:59:03.79,-35:34:32.5
J200756-101638,radec gaincal,20:07:56.81,-10:16:38.4
J201114-064404,radec gaincal,20:11:14.215847,-06:44:03.555190
J201427+233452,radec gaincal,20:14:27.58,+23:34:52.9
J202807-152120,radec gaincal,20:28:07.23,-15:21:20.9
J205218-364031,radec gaincal,20:52:17.63,-36:40:31.3
J205616-471448,radec gaincal,20:56:16.22,-47:14:48.1
J213033+050217,radec gaincal,21:30:32.877499,+05:02:17.474690
J213101-203656,radec gaincal,21:31:01.52,-20:36:56.1
J213135-120706,radec gaincal,21:31:35.26,-12:07:06.2
J213410-015317,radec gaincal,21:34:10.31,-01:53:17.0
J213638+004154 | 2134+004,radec gaincal,21:36:38.57,+00:41:54.5
J213901+142336, radec gaincal,21:39:01.309267,+14:23:35.991990
J214805+065739,radec gaincal,21:48:05.48,+06:57:39.4
J215203-282829,radec gaincal,21:52:03.78,-28:28:29.0
J215806-150109,radec gaincal,21:58:06.3,-15:01:09.
J220610-183539,radec gaincal,22:06:10.33,-18:35:39.0
J221238+015251,radec gaincal,22:12:37.9770,+01:52:51.151
J221439-383545,radec gaincal,22:14:38.569313,-38:35:45.009880
J222946-382359,radec gaincal,22:29:46.75,-38:23:59.0
J222547-045701 | 3C446,radec bpcal,22:25:47.259,-04:57:01.390
J222946-382359,radec gaincal,22:29:46.75,-38:23:58.0
J223236+114350 | CTA102,radec gaincal,22:32:36.408,+11:43:50.904
J223622+282857,radec gaincal,22:36:22.470860,+28:28:57.413290
J224618-120652,radec gaincal,22:46:18.28,-12:06:52.0
J225357+160853 | 3C454.3,radec gaincal,22:53:57.748,+16:08:53.56
J225409+244523,radec gaincal,22:54:09.341903,+24:45:23.422800
J230224-371807,radec gaincal,23:02:23.888868,-37:18:06.8388290
J231409-445549,radec gaincal,23:14:09.382840,-44:55:49.2363090
J232917-473019,radec gaincal,23:29:17.74,-47:30:19.2
J232933-192305,radec gaincal,23:29:33.74,-19:23:05.1
J234146-350622,radec gaincal,23:41:45.8910,-35:06:22.130
J234802-163112,radec gaincal,23:48:02.62,-16:31:12.6
J235731-112538,radec gaincal,23:57:31.25,-11:25:38.9
J235753-531115,radec gaincal,23:57:53.14,-53:11:15.6
