CirX1,radec target, 15:20:40.85, -57:10:00.1
J150135-391839 | 1458-391,radec gaincal,15:01:34.7,-39:18:39.4
J193925-634243 | 1934-638,radec bpcal,19:39:25.05,-63:42:43.63
J174425-514443 | 1740-517,radec bpcal,17:44:25.47,-51:44:43.1
