3C138, radec target polcal, 05:21:09.886021, 16:38:22.051220
0529+075, radec gaincal, 05:32:38.998531, 07:32:43.345860
1934-638, radec bpcal, 19:39:25.026, -63:42:45.63
3C286, radec target polcal, 13:31:08.29, 30:30:33.0
1222+216, radec gaincal, 12:24:54.458387, 21:22:46.388610
0407-658, radec bpcal, 04:08:20.380, -65:45:09.08
