1934-638	,radec delaycal bpcal	,19:39:25.03,-63:42:45.63
0408-65		,radec delaycal bpcal gaincal	,04:08:20.38,-65:45:09.1
0252-712	,radec delaycal gaincal ,02:52:46.15,-71:04:35.26
J0358-81    ,radec target	,03:58:31.5,-81:03:45.7
