J1927-6342,radec target,19:27:25.03,-63:42:45.63
J1929-6342,radec target,19:29:25.03,-63:42:45.63
J1931-6342,radec target,19:31:25.03,-63:42:45.63
J1933-6342,radec target,19:33:25.03,-63:42:45.63
J1935-6342,radec target,19:35:25.03,-63:42:45.63
J1937-6342,radec target,19:37:25.03,-63:42:45.63
J1938-6342,radec target,19:38:25.03,-63:42:45.63
J1939-6342,radec target,19:39:25.03,-63:42:45.63
J1940-6342,radec target,19:40:25.03,-63:42:45.63
J1941-6342,radec target,19:41:25.03,-63:42:45.63
J1943-6342,radec target,19:43:25.03,-63:42:45.63
J1945-6342,radec target,19:45:25.03,-63:42:45.63
J1947-6342,radec target,19:47:25.03,-63:42:45.63
J1949-6342,radec target,19:49:25.03,-63:42:45.63
J1951-6342,radec target,19:51:25.03,-63:42:45.63
J1939-6042,radec target,19:39:25.03,-60:42:45.63
J1939-6112,radec target,19:39:25.03,-61:12:45.63
J1939-6142,radec target,19:39:25.03,-61:42:45.63
J1939-6212,radec target,19:39:25.03,-62:12:45.63
J1939-6242,radec target,19:39:25.03,-62:42:45.63
J1939-6312,radec target,19:39:25.03,-63:12:45.63
J1939-6327,radec target,19:39:25.03,-63:27:45.63
J1939-6342,radec target,19:39:25.03,-63:42:45.63
J1939-6357,radec target,19:39:25.03,-63:57:45.63
J1939-6412,radec target,19:39:25.03,-64:12:45.63
J1939-6442,radec target,19:39:25.03,-64:42:45.63
J1939-6512,radec target,19:39:25.03,-65:12:45.63
J1939-6542,radec target,19:39:25.03,-65:42:45.63
J1939-6612,radec target,19:39:25.03,-66:12:45.63
J1939-6642,radec target,19:39:25.03,-66:42:45.63
