1934-638	,radec delaycal bpcal	,19:39:25.03,-63:42:45.63
0022-423	,radec delaycal gaincal ,00:24:42.990,-42:02:03.95
PHOENIX_DEEP	,radec target	,01:14:00.00,-45:45:00.00
