# RxL_SN0003_calculated_noise_H_chan, 
# f (Hz), T_e_cal (K)
1460771712.000000, 17.983786
1461770368.000000, 18.141417
1462769152.000000, 18.422736
1463767808.000000, 18.001097
1464766592.000000, 18.103730
1465765248.000000, 18.206205
1466763904.000000, 18.060553
1467762688.000000, 18.147152
1468761344.000000, 18.066176
1469760000.000000, 18.305373
1470758784.000000, 18.261814
1471757440.000000, 18.257833
1472756224.000000, 18.477406
1473754880.000000, 18.095788
1474753536.000000, 18.042875
1475752320.000000, 18.109958
1476750976.000000, 18.130850
1477749632.000000, 18.097313
1478748416.000000, 18.095256
1479747072.000000, 18.296796
1480745728.000000, 18.124787
1481744512.000000, 17.993117
1482743168.000000, 18.315308
1483741952.000000, 18.142276
1484740608.000000, 18.201467
1485739264.000000, 18.193961
1486738048.000000, 18.188268
1487736704.000000, 18.276985
1488735360.000000, 18.345787
1489734144.000000, 18.199795
1490732800.000000, 18.386123
1491731456.000000, 18.206263
1492730240.000000, 18.356583
1493728896.000000, 18.401067
1494727680.000000, 18.169542
1495726336.000000, 18.187846
1496724992.000000, 18.078512
1497723776.000000, 18.321094
1498722432.000000, 18.134107
1499721088.000000, 18.444758
1500719872.000000, 18.463348
1501718528.000000, 18.460784
1502717312.000000, 18.458393
1503715968.000000, 18.475996
1504714624.000000, 18.441822
1505713408.000000, 18.458809
1506712064.000000, 18.606279
1507710720.000000, 18.564368
1508709504.000000, 18.627116
1509708160.000000, 18.724696
1510706816.000000, 18.727059
1511705600.000000, 18.920427
1512704256.000000, 18.911049
1513703040.000000, 18.850147
1514701696.000000, 18.972732
1515700352.000000, 18.640742
1516699136.000000, 18.919971
1517697792.000000, 19.090703
1518696448.000000, 18.958428
1519695232.000000, 19.039171
1520693888.000000, 18.901491
1521692544.000000, 19.100300
1522691328.000000, 19.034125
1523689984.000000, 18.995422
1524688768.000000, 19.181753
1525687424.000000, 19.043930
1526686080.000000, 19.264111
1527684864.000000, 19.351595
1528683520.000000, 19.372000
1529682176.000000, 19.130904
1530680960.000000, 19.355895
1531679616.000000, 19.392926
1532678400.000000, 19.244913
1533677056.000000, 19.547881
1534675712.000000, 19.341557
1535674496.000000, 19.573458
1536673152.000000, 19.409514
1537671808.000000, 19.445680
1538670592.000000, 19.342239
1539669248.000000, 19.393380
1540667904.000000, 19.683892
1541666688.000000, 19.310852
1542665344.000000, 19.538606
1543664128.000000, 19.469190
1544662784.000000, 19.541232
1545661440.000000, 19.521315
1546660224.000000, 19.623204
1547658880.000000, 19.713105
1548657536.000000, 19.739267
1549656320.000000, 19.648030
1550654976.000000, 19.649168
1551653760.000000, 19.609575
1552652416.000000, 19.442963
1553651072.000000, 19.722409
1554649856.000000, 19.799954
1555648512.000000, 19.736606
1556647168.000000, 19.571728
1557645952.000000, 19.874191
1558644608.000000, 19.768499
1559643264.000000, 19.792368
1560642048.000000, 19.961702
1561640704.000000, 20.083873
1562639488.000000, 20.021204
1563638144.000000, 19.920173
1564636800.000000, 19.781121
1565635584.000000, 19.802066
1566634240.000000, 20.088701
1567632896.000000, 20.012453
1568631680.000000, 20.061171
1569630336.000000, 19.947409
1570628992.000000, 19.914692
1571627776.000000, 20.138699
1572626432.000000, 20.162847
1573625216.000000, 20.135945
1574623872.000000, 20.372221
1575622528.000000, 20.311720
1576621312.000000, 20.331162
1577619968.000000, 20.401269
1578618624.000000, 20.343950
1579617408.000000, 20.277422
1580616064.000000, 20.361627
1581614848.000000, 20.459384
1582613504.000000, 20.504747
1583612160.000000, 20.529293
1584610944.000000, 20.608913
1585609600.000000, 20.457834
1586608256.000000, 20.627444
1587607040.000000, 20.752543
1588605696.000000, 20.479993
1589604352.000000, 20.618066
1590603136.000000, 20.674849
1591601792.000000, 20.630311
1592600576.000000, 20.763865
1593599232.000000, 20.914295
1594597888.000000, 20.473125
1595596672.000000, 20.710663
1596595328.000000, 20.903345
1597593984.000000, 20.749181
1598592768.000000, 20.805494
1599591424.000000, 20.849439
1600590080.000000, 20.752308
1601588864.000000, 20.960770
1602587520.000000, 20.855298
1603586304.000000, 20.905574
1604584960.000000, 20.830759
1605583616.000000, 20.990332
1606582400.000000, 21.085132
1607581056.000000, 21.161662
1608579712.000000, 21.217176
1609578496.000000, 21.197542
1610577152.000000, 21.257161
1611575936.000000, 21.379416
1612574592.000000, 21.229323
1613573248.000000, 21.286370
1614572032.000000, 21.336739
1615570688.000000, 21.357703
1616569344.000000, 21.568548
1617568128.000000, 21.487403
1618566784.000000, 21.451789
1619565440.000000, 21.600525
1620564224.000000, 21.703815
1621562880.000000, 21.745283
1622561664.000000, 21.429827
1623560320.000000, 21.783185
1624558976.000000, 21.622818
1625557760.000000, 21.658347
1626556416.000000, 21.907932
1627555072.000000, 21.877207
1628553856.000000, 21.986432
1629552512.000000, 21.786330
1630551296.000000, 21.941285
1631549952.000000, 21.924637
1632548608.000000, 21.992085
1633547392.000000, 21.853681
1634546048.000000, 22.100531
1635544704.000000, 22.109323
1636543488.000000, 22.100405
1637542144.000000, 22.159690
1638540800.000000, 21.912334
1639539584.000000, 22.019197
1640538240.000000, 22.291616
1641537024.000000, 22.164321
1642535680.000000, 22.132013
1643534336.000000, 21.931939
1644533120.000000, 22.413704
1645531776.000000, 22.363850
1646530432.000000, 22.173509
1647529216.000000, 22.066956
1648527872.000000, 22.154222
1649526528.000000, 22.122389
1650525312.000000, 21.885251
1651523968.000000, 22.068156
1652522752.000000, 22.191595
1653521408.000000, 22.073206
1654520064.000000, 21.943019
1655518848.000000, 22.205171
1656517504.000000, 21.898131
1657516160.000000, 22.090140
1658514944.000000, 21.872766
1659513600.000000, 21.994825
1660512384.000000, 21.947845
1661511040.000000, 22.058122
1662509696.000000, 22.168220
1663508480.000000, 22.103405
1664507136.000000, 21.942898
1665505792.000000, 22.169097
1666504576.000000, 21.897133
1667503232.000000, 22.128006
1668501888.000000, 21.792522
1669500672.000000, 21.966428
